ID,Group1,Group2,p,padj,log2
OTU250,0.003186758,0.007078171,0.034625936,0.034625936,1.151287344
OTU440,0.00103418,0.005968581,0.035956784,0.035956784,2.528899957
OTU234,0.003513507,0.000103091,0.03605695,0.03605695,-5.090920432
OTU87,0.200602164,0.433725848,0.037609674,0.037609674,1.112446253
OTU9,1.924853338,0.556426185,0.037762688,0.037762688,-1.790486307
OTU162,0.004525883,0.033775036,0.038682037,0.038682037,2.899685941
OTU302,0.013675621,0.029335292,0.039535635,0.039535635,1.101031012
OTU482,0.002592417,0.011122415,0.039949245,0.039949245,2.101100079
OTU53,0.076387828,0.171182844,0.040834676,0.040834676,1.164123441
OTU143,0.013533297,0.143628433,0.041746001,0.041746001,3.407756083
OTU268,0.055511046,0.02409567,0.043241287,0.043241287,-1.204000939
OTU263,0.003114481,8.11E-05,0.044562465,0.044562465,-5.263457631
OTU416,0.001610287,0.010783832,0.04492626,0.04492626,2.743480524
OTU367,0.000450809,0.007614818,0.046260567,0.046260567,4.078222723
OTU646,0.03397924,0.011309487,0.046277605,0.046277605,-1.587120112
OTU153,0.030390834,0.099292149,0.046315169,0.046315169,1.708043355
OTU1137,0.119380984,0.048086642,0.04862114,0.04862114,-1.311864962
OTU187,0.165146743,0.04211628,0.048884387,0.048884387,-1.971298592
OTU4493,0.001156742,0.008928256,0.049102921,0.049102921,2.94831123
OTU445,0.004928533,0.015222899,0.049706511,0.049706511,1.627012923
OTU425,7.68E-05,0.002872789,0.050763984,0.050763984,5.22572263
OTU231,0.015713941,0.079009835,0.052361,0.052361,2.32998724
OTU859,0.000504004,0.002015169,0.053595281,0.053595281,1.99939481
OTU82,0.186352584,0.325529154,0.053626743,0.053626743,0.804751929
OTU2809,0.002676247,0.008885225,0.055712802,0.055712802,1.731196835
OTU2885,0.001064284,0.009444771,0.055864846,0.055864846,3.149632702
OTU47,0.367125275,0.07665284,0.056113451,0.056113451,-2.259861294
OTU277,0.003394725,0.015738833,0.056502182,0.056502182,2.212961939
OTU101,0.005286685,0.000571781,0.059340553,0.059340553,-3.208828288
OTU377,0.034546749,0.007852632,0.059744738,0.059744738,-2.13730178
